Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/29/19 ($m),Year
169,Nucor,"23,900",170,"$16,208.00",-1.40%,$796.30,122.60%,"$15,224.00","$19,051.00",2017
170,NextEra Energy,"14,700",163,"$16,155.00",-7.60%,"$2,912.00",5.80%,"$89,993.00","$60,099.00",2017
171,Performance Food Group,"13,000",185,"$16,105.00",5.50%,$68.30,20.90%,"$3,455.00","$2,464.00",2017
172,PBF Energy,"3,165",217,"$15,920.00",21.30%,$170.80,16.70%,"$7,622.00","$2,431.00",2017
173,Halliburton,"50,000",117,"$15,887.00",-32.80%,"-$5,763.00",-,"$27,000.00","$42,662.00",2017
174,CarMax,"22,429",191,"$15,833.00",6.40%,$623.40,4.40%,"$14,482.00","$11,081.00",2017
175,Freeport-McMoRan,"30,000",175,"$15,789.00",-0.60%,"-$4,154.00",-,"$37,317.00","$19,310.00",2017
176,Whole Foods Market,"73,515",181,"$15,724.00",2.20%,$507.00,-5.40%,"$6,341.00","$9,468.00",2017
177,Bank of New York Mellon Corp.,"52,000",179,"$15,683.00",1.00%,"$3,547.00",12.30%,"$333,469.00","$48,913.00",2017
178,Gap,"135,000",177,"$15,516.00",-1.80%,$676.00,-26.50%,"$7,610.00","$9,712.00",2017
179,Omnicom Group,"78,500",186,"$15,417.00",1.90%,"$1,148.60",5.00%,"$23,165.00","$20,219.00",2017
180,Genuine Parts,"40,000",183,"$15,340.00",0.40%,$687.20,-2.60%,"$8,859.00","$13,712.00",2017
181,DaVita HealthCare Partners,"70,300",200,"$15,197.00",6.90%,$879.90,226.20%,"$18,741.00","$13,227.00",2017
182,Colgate-Palmolive,"36,700",174,"$15,195.00",-5.20%,"$2,441.00",76.40%,"$12,123.00","$64,715.00",2017
183,PPG Industries,"47,000",182,"$15,178.00",-1.00%,$877.00,-37.60%,"$15,769.00","$26,970.00",2017
184,Goodyear Tire & Rubber,"66,000",169,"$15,158.00",-7.80%,"$1,264.00",311.70%,"$16,511.00","$9,070.00",2017
185,Synchrony Financial,"15,000",,"$15,122.00",11.00%,"$2,251.00",1.70%,"$90,207.00","$27,810.00",2017
186,DISH Network,"16,000",187,"$15,095.00",0.20%,"$1,449.90",94.10%,"$28,092.00","$29,547.00",2017
187,Visa,"14,200",204,"$15,082.00",8.70%,"$5,991.00",-5.30%,"$64,035.00","$206,242.00",2017
188,Nordstrom,"72,500",197,"$14,757.00",2.20%,$354.00,-41.00%,"$7,858.00","$7,770.00",2017
189,INTL FCStone,"1,464",83,"$14,755.00",-57.50%,$54.70,-1.80%,"$5,951.00",$708.00,2017
190,WestRock,"39,000",251,"$14,706.00",29.20%,-$396.30,-178.20%,"$23,038.00","$13,029.00",2017
191,XPO Logistics,"87,000",353,"$14,619.00",91.80%,$69.00,-,"$11,698.00","$5,338.00",2017
192,Aramark,"217,250",199,"$14,416.00",0.60%,$287.80,22.00%,"$10,582.00","$9,081.00",2017
193,CBS,"18,410",203,"$14,386.00",3.60%,"$1,261.00",-10.80%,"$24,238.00","$28,405.00",2017
194,AES,"19,000",190,"$14,287.00",-4.50%,"-$1,130.00",-469.30%,"$36,119.00","$7,371.00",2017
195,WellCare Health Plans,"7,400",202,"$14,237.00",2.50%,$242.10,104.10%,"$6,153.00","$6,212.00",2017
196,FirstEnergy,"15,707",188,"$14,156.00",-3.10%,"-$6,177.00",-,"$43,148.00","$14,118.00",2017
197,ConAgra Foods,"20,900",176,"$14,134.00",-10.80%,-$677.00,-,"$13,391.00","$17,557.00",2017
198,Synnex,"110,000",212,"$14,062.00",5.40%,$234.90,12.70%,"$5,223.00","$4,469.00",2017
199,CDW,"8,516",220,"$13,982.00",7.60%,$424.40,5.30%,"$6,948.00","$9,197.00",2017
200,Textron,"36,000",209,"$13,788.00",2.70%,$962.00,38.00%,"$15,358.00","$12,851.00",2017
201,Waste Management,"41,200",221,"$13,609.00",5.00%,"$1,182.00",57.00%,"$20,859.00","$32,216.00",2017
202,Illinois Tool Works,"50,000",211,"$13,599.00",1.40%,"$2,035.00",7.20%,"$15,201.00","$45,791.00",2017
203,Office Depot,"38,000",196,"$13,585.00",-6.20%,$529.00,-,"$5,540.00","$2,402.00",2017
204,Monsanto,"22,450",189,"$13,502.00",-10.00%,"$1,336.00",-42.30%,"$19,736.00","$49,644.00",2017
205,Cognizant Technology Solutions,"260,200",230,"$13,487.00",8.60%,"$1,553.00",-4.30%,"$14,262.00","$36,226.00",2017
206,Texas Instruments,"29,865",219,"$13,370.00",2.80%,"$3,595.00",20.40%,"$16,431.00","$80,531.00",2017
207,Lincoln National,"9,057",205,"$13,330.00",-1.80%,"$1,192.00",3.30%,"$261,627.00","$14,760.00",2017
208,Newell Brands,"53,400",434,"$13,264.00",122.10%,$527.80,50.80%,"$33,838.00","$22,787.00",2017
209,Land O’Lakes,"10,000",215,"$13,233.00",0.60%,$244.90,-20.40%,"$8,305.00",-,2017
210,Marsh & McLennan,"60,000",222,"$13,211.00",2.50%,"$1,768.00",10.60%,"$18,190.00","$38,078.00",2017
211,Ecolab,"47,565",206,"$13,153.00",-2.90%,"$1,229.60",22.70%,"$18,330.00","$36,356.00",2017
212,C.H. Robinson Worldwide,"14,125",208,"$13,144.00",-2.50%,$513.40,0.70%,"$3,688.00","$10,958.00",2017
213,Loews,"15,800",210,"$13,105.00",-2.30%,$654.00,151.50%,"$76,594.00","$15,747.00",2017
214,CBRE Group,"75,000",259,"$13,072.00",20.40%,$572.00,4.50%,"$10,780.00","$11,753.00",2017
215,Kinder Morgan,"11,121",198,"$13,058.00",-9.30%,$708.00,179.80%,"$80,305.00","$48,533.00",2017
216,Kellogg,"37,369",207,"$13,014.00",-3.80%,$694.00,13.00%,"$15,111.00","$25,417.00",2017
217,Western Digital,"72,878",194,"$12,994.00",-10.80%,$242.00,-83.50%,"$32,862.00","$23,775.00",2017
218,Guardian Life Ins. Co. of America,"8,876",226,"$12,919.00",2.30%,$263.90,-35.70%,"$70,339.00",-,2017
219,Ross Stores,"78,600",237,"$12,867.00",7.80%,"$1,117.70",9.50%,"$5,309.00","$25,814.00",2017
220,L Brands,"59,100",234,"$12,574.00",3.50%,"$1,158.10",-7.60%,"$8,170.00","$13,426.00",2017
221,J.C. Penney,"106,000",228,"$12,547.00",-0.60%,$1.00,-,"$9,314.00","$1,901.00",2017
222,Farmers Insurance Exchange,"13,309",227,"$12,513.00",-0.90%,-$147.90,-,"$16,057.00",-,2017
223,Reynolds American,"5,525",266,"$12,503.00",17.10%,"$6,073.00",86.70%,"$51,095.00","$89,862.00",2017
224,Viacom,"9,650",213,"$12,488.00",-5.90%,"$1,438.00",-25.20%,"$22,508.00","$18,503.00",2017
225,Becton Dickinson,"50,928",278,"$12,483.00",21.40%,$976.00,40.40%,"$25,586.00","$39,041.00",2017
226,Micron Technology,"31,400",173,"$12,399.00",-23.40%,-$276.00,-109.50%,"$27,540.00","$31,972.00",2017
227,Principal Financial,"14,854",236,"$12,394.00",3.60%,"$1,316.50",6.70%,"$228,014.00","$18,143.00",2017
228,Arconic,"41,500",126,"$12,394.00",-45.00%,-$941.00,-,"$20,038.00","$11,604.00",2017
229,NRG Energy,"8,763",193,"$12,351.00",-15.80%,-$774.00,-,"$30,355.00","$5,911.00",2017
230,VF,"69,000",231,"$12,207.00",-1.40%,"$1,074.10",-12.80%,"$9,739.00","$22,786.00",2017
231,Devon Energy,"3,545",216,"$12,197.00",-7.20%,"-$3,302.00",-,"$25,913.00","$21,886.00",2017
232,D.R. Horton,"6,976",260,"$12,157.00",12.30%,$886.30,18.10%,"$11,559.00","$12,438.00",2017
233,Bed Bath & Beyond,"62,000",238,"$12,104.00",1.90%,$841.50,-12.10%,"$6,499.00","$5,931.00",2017
234,Consolidated Edison,"14,960",229,"$12,075.00",-3.80%,"$1,245.00",4.40%,"$48,255.00","$23,708.00",2017
235,Edison International,"12,390",246,"$11,869.00",3.00%,"$1,311.00",28.50%,"$51,319.00","$25,938.00",2017
236,Sherwin-Williams,"42,550",253,"$11,856.00",4.60%,"$1,132.70",7.50%,"$6,753.00","$28,891.00",2017
237,NGL Energy Partners,"3,200",167,"$11,742.00",-30.10%,-$198.90,-633.20%,"$5,560.00","$2,686.00",2017
238,Dominion Resources,"16,200",243,"$11,737.00",0.50%,"$2,123.00",11.80%,"$71,610.00","$48,732.00",2017
239,Ameriprise Financial,"13,195",232,"$11,735.00",-3.80%,"$1,314.00",-15.90%,"$139,821.00","$19,953.00",2017
240,ADP,"57,000",248,"$11,668.00",1.70%,"$1,492.50",2.80%,"$43,670.00","$45,963.00",2017
241,Hilton Worldwide Holdings,"169,000",254,"$11,663.00",3.50%,$348.00,-75.20%,"$26,211.00","$19,276.00",2017
242,First Data,"24,000",249,"$11,584.00",1.20%,$420.00,-,"$40,292.00","$14,224.00",2017
243,Henry Schein,"21,000",268,"$11,572.00",8.90%,$506.80,5.80%,"$6,730.00","$13,461.00",2017
244,Toys “R” Us,"64,000",240,"$11,540.00",-2.20%,-$36.00,-,"$6,908.00",-,2017
245,BB&T Corp.,"37,500",273,"$11,538.00",11.50%,"$2,426.00",16.40%,"$219,276.00","$36,141.00",2017
246,Reinsurance Group of America,"2,371",271,"$11,522.00",10.60%,$701.40,39.70%,"$53,098.00","$8,169.00",2017
247,Core-Mark Holding,"7,688",317,"$11,507.00",29.90%,$54.20,5.20%,"$1,497.00","$1,445.00",2017
248,Biogen,"7,400",263,"$11,449.00",6.40%,"$3,702.80",4.40%,"$22,877.00","$59,046.00",2017
249,Las Vegas Sands,"49,000",241,"$11,410.00",-2.40%,"$1,670.00",-15.10%,"$20,469.00","$45,313.00",2017
250,Stanley Black & Decker,"54,023",256,"$11,407.00",1.70%,$965.30,9.20%,"$15,635.00","$20,280.00",2017
251,Parker-Hannifin,"48,950",224,"$11,361.00",-10.60%,$806.80,-20.30%,"$12,057.00","$21,370.00",2017
252,Stryker,"33,000",287,"$11,325.00",13.90%,"$1,647.00",14.50%,"$20,435.00","$49,115.00",2017
253,Estee Lauder,"46,000",261,"$11,262.00",4.50%,"$1,114.60",2.40%,"$9,223.00","$31,068.00",2017
254,Celgene,"7,132",305,"$11,229.00",21.30%,"$1,999.20",24.80%,"$28,086.00","$96,802.00",2017
255,BlackRock,"13,000",250,"$11,155.00",-2.20%,"$3,172.00",-5.20%,"$220,177.00","$62,225.00",2017
256,Xcel Energy,"11,476",257,"$11,107.00",0.70%,"$1,123.40",14.10%,"$41,155.00","$22,546.00",2017
257,CSX,"26,628",239,"$11,069.00",-6.30%,"$1,714.00",-12.90%,"$35,414.00","$43,126.00",2017
258,Unum Group,"9,400",265,"$11,047.00",2.90%,$931.40,7.40%,"$61,942.00","$10,749.00",2017
259,Jacobs Engineering Group,"49,350",235,"$10,964.00",-9.50%,$210.50,-30.50%,"$7,360.00","$6,693.00",2017
260,Lennar,"8,335",301,"$10,950.00",15.60%,$911.80,13.60%,"$15,362.00","$12,002.00",2017
261,Group 1 Automotive,"13,500",267,"$10,888.00",2.40%,$147.10,56.50%,"$4,462.00","$1,584.00",2017
262,Leucadia National,"13,000",242,"$10,875.00",-6.90%,$130.00,-54.20%,"$45,071.00","$9,355.00",2017
263,Entergy,"13,513",247,"$10,846.00",-5.80%,-$583.60,-,"$45,904.00","$13,685.00",2017
264,PayPal Holdings,"18,100",307,"$10,842.00",17.20%,"$1,401.00",14.10%,"$33,103.00","$51,650.00",2017
265,Applied Materials,"16,150",295,"$10,825.00",12.10%,"$1,721.00",25.00%,"$14,588.00","$42,005.00",2017
266,Voya Financial,"6,700",252,"$10,782.00",-4.90%,-$428.00,-204.80%,"$214,235.00","$7,191.00",2017
267,MasterCard,"11,900",294,"$10,776.00",11.50%,"$4,059.00",6.60%,"$18,675.00","$121,234.00",2017
268,Priceline Group,"18,500",308,"$10,743.00",16.50%,"$2,135.00",-16.30%,"$19,839.00","$87,522.00",2017
269,Liberty Interactive,"21,080",284,"$10,647.00",6.60%,"$1,235.00",42.10%,"$20,355.00","$9,101.00",2017
270,AutoZone,"66,780",280,"$10,636.00",4.40%,"$1,241.00",7.00%,"$8,600.00","$20,540.00",2017
271,State Street Corp.,"33,783",264,"$10,635.00",-1.20%,"$2,143.00",8.20%,"$242,698.00","$30,406.00",2017
272,DTE Energy,"10,000",274,"$10,630.00",2.80%,$868.00,19.40%,"$32,041.00","$18,317.00",2017
273,L-3 Communications,"38,000",245,"$10,597.00",-8.30%,$710.00,-,"$11,865.00","$12,859.00",2017
274,HollyFrontier,"2,676",214,"$10,536.00",-20.40%,-$260.50,-135.20%,"$9,436.00","$5,048.00",2017
275,Praxair,"26,498",262,"$10,534.00",-2.20%,"$1,500.00",-3.00%,"$19,332.00","$33,834.00",2017
276,Universal Health Services,"70,863",290,"$10,508.00",7.40%,$702.40,3.20%,"$10,318.00","$12,022.00",2017
277,Discover Financial Services,"15,549",283,"$10,497.00",4.90%,"$2,393.00",4.20%,"$92,308.00","$26,255.00",2017
278,Occidental Petroleum,"11,000",225,"$10,398.00",-18.10%,-$574.00,-,"$43,109.00","$48,444.00",2017
279,United States Steel,"29,800",244,"$10,261.00",-11.30%,-$440.00,-,"$9,160.00","$5,893.00",2017
280,Sempra Energy,"16,575",279,"$10,183.00",-0.50%,"$1,370.00",1.60%,"$47,786.00","$27,692.00",2017
281,Baxter International,"48,000",286,"$10,163.00",2.00%,"$4,965.00",412.90%,"$15,546.00","$28,106.00",2017
282,W.W. Grainger,"25,000",285,"$10,137.00",1.60%,$605.90,-21.20%,"$5,694.00","$13,668.00",2017
283,Autoliv,"65,900",310,"$10,074.00",9.90%,$567.10,24.10%,"$8,234.00","$9,032.00",2017
284,Norfolk Southern,"27,856",270,"$9,888.00",-5.90%,"$1,668.00",7.20%,"$34,892.00","$32,515.00",2017
285,Baker Hughes,"33,000",178,"$9,841.00",-37.50%,"-$2,738.00",-,"$19,034.00","$25,444.00",2017
286,Ally Financial,"7,600",298,"$9,835.00",3.10%,"$1,067.00",-17.20%,"$163,728.00","$9,437.00",2017
287,Sonic Automotive,"9,800",297,"$9,732.00",1.10%,$93.20,8.00%,"$3,639.00",$900.00,2017
288,Owens & Minor,"7,900",291,"$9,723.00",-0.50%,$108.80,5.20%,"$2,718.00","$2,114.00",2017
289,Huntsman,"15,000",277,"$9,657.00",-6.20%,$326.00,250.50%,"$9,189.00","$5,880.00",2017
290,Laboratory Corp. of America,"52,000",325,"$9,642.00",11.10%,$732.10,67.60%,"$14,247.00","$14,696.00",2017
291,Murphy USA,"6,600",258,"$9,633.00",-11.50%,$221.50,25.60%,"$2,089.00","$2,706.00",2017
292,Advance Auto Parts,"57,500",293,"$9,568.00",-1.70%,$459.60,-2.90%,"$8,315.00","$10,944.00",2017
293,Fidelity National Financial,"55,219",311,"$9,554.00",4.60%,$650.00,23.30%,"$14,463.00","$10,600.00",2017
294,Air Products & Chemicals,"18,450",288,"$9,524.00",-3.70%,$631.10,-50.60%,"$18,055.00","$29,438.00",2017
295,Hormel Foods,"21,100",304,"$9,523.00",2.80%,$890.10,29.70%,"$6,370.00","$18,316.00",2017
296,Hertz Global Holdings,"36,000",269,"$9,480.00",-10.00%,-$491.00,-279.90%,"$19,155.00","$1,456.00",2017
297,MGM Resorts International,"66,500",309,"$9,455.00",2.90%,"$1,101.40",-,"$28,173.00","$15,733.00",2017
298,Corning,"40,700",313,"$9,390.00",3.10%,"$3,695.00",176.00%,"$27,899.00","$25,030.00",2017
299,Republic Services,"33,000",312,"$9,388.00",3.00%,$612.60,-18.30%,"$20,630.00","$21,312.00",2017
300,Alcoa,"14,000",,"$9,318.00",-,-$400.00,-,"$16,741.00","$6,337.00",2017
301,Fidelity National Information Services,"55,000",392,"$9,241.00",40.10%,$568.00,-10.10%,"$26,031.00","$26,178.00",2017
302,Pacific Life,"3,628",326,"$9,169.00",6.10%,$824.00,24.70%,"$143,298.00",-,2017
303,SunTrust Banks,"24,375",329,"$9,161.00",7.40%,"$1,878.00",-2.80%,"$204,875.00","$27,175.00",2017
304,LKQ,"42,500",369,"$9,082.00",26.30%,$464.00,9.60%,"$8,303.00","$9,021.00",2017
305,BorgWarner,"27,000",339,"$9,071.00",13.10%,$118.50,-80.60%,"$8,835.00","$8,895.00",2017
306,Ball,"18,450",341,"$9,061.00",13.30%,$263.00,-6.40%,"$16,173.00","$13,000.00",2017
307,CST Brands,"12,380",299,"$9,061.00",-4.60%,$324.00,117.40%,"$4,360.00","$3,645.00",2017
308,Public Service Enterprise Group,"13,065",272,"$9,061.00",-13.00%,$887.00,-47.20%,"$40,070.00","$22,451.00",2017
309,Eastman Chemical,"14,000",296,"$9,008.00",-6.60%,$854.00,0.70%,"$15,457.00","$11,783.00",2017
310,eBay,"12,600",300,"$8,979.00",-5.40%,"$7,266.00",321.20%,"$23,847.00","$36,232.00",2017
311,Mohawk Industries,"37,800",338,"$8,959.00",11.00%,$930.40,51.20%,"$10,231.00","$17,025.00",2017
312,Oneok,"2,384",348,"$8,921.00",14.90%,$352.00,43.70%,"$16,139.00","$11,684.00",2017
313,Frontier Communications,"28,332",461,"$8,896.00",59.50%,-$373.00,-,"$29,013.00","$2,521.00",2017
314,Netflix,"3,850",379,"$8,831.00",30.30%,$186.70,52.20%,"$13,587.00","$63,619.00",2017
315,American Family Insurance Group,"10,471",332,"$8,829.00",6.60%,$325.60,-53.10%,"$22,662.00",-,2017
316,Thrivent Financial for Lutherans,"3,282",318,"$8,777.00",-0.10%,$587.80,-23.60%,"$88,561.00",-,2017
317,Expedia,"20,075",385,"$8,774.00",31.50%,$281.80,-63.10%,"$15,778.00","$18,901.00",2017
318,Lithia Motors,"11,170",346,"$8,678.00",10.30%,$197.10,7.70%,"$3,844.00","$2,156.00",2017
319,Avis Budget Group,"25,600",330,"$8,659.00",1.80%,$163.00,-47.90%,"$17,643.00","$2,528.00",2017
320,Reliance Steel & Aluminum,"14,500",303,"$8,613.00",-7.90%,$304.30,-2.30%,"$7,411.00","$5,830.00",2017
321,GameStop,"41,750",302,"$8,608.00",-8.10%,$353.20,-12.30%,"$4,976.00","$2,282.00",2017
322,Tenneco,"31,000",334,"$8,599.00",4.80%,$363.00,47.00%,"$4,342.00","$3,390.00",2017
323,O’Reilly Automotive,"58,397",342,"$8,593.00",7.90%,"$1,037.70",11.40%,"$7,204.00","$24,730.00",2017
324,Peter Kiewit Sons’,"20,000",314,"$8,573.00",-4.70%,$396.00,57.80%,"$6,179.00",-,2017
325,United Natural Foods,"9,554",335,"$8,470.00",3.50%,$125.80,-9.30%,"$2,852.00","$2,187.00",2017
326,salesforce.com,"25,000",386,"$8,392.00",25.90%,$179.60,-,"$17,585.00","$58,362.00",2017
327,Boston Scientific,"27,000",359,"$8,386.00",12.20%,$347.00,-,"$18,096.00","$34,046.00",2017
328,Newmont Mining,"12,438",349,"$8,379.00",8.40%,-$627.00,-385.00%,"$21,031.00","$17,518.00",2017
329,Genworth Financial,"3,400",306,"$8,369.00",-9.50%,-$277.00,-,"$104,658.00","$2,056.00",2017
330,Live Nation Entertainment,"11,500",366,"$8,355.00",15.30%,$2.90,-,"$6,764.00","$6,219.00",2017
331,Veritiv,"8,700",323,"$8,327.00",-4.50%,$21.00,-21.30%,"$2,484.00",$813.00,2017
332,News Corp.,"24,000",327,"$8,319.00",-3.60%,$179.00,-,"$15,483.00","$7,559.00",2017
333,Crown Holdings,"23,992",321,"$8,284.00",-5.50%,$496.00,26.20%,"$9,599.00","$7,367.00",2017
334,Global Partners,"1,770",276,"$8,240.00",-20.10%,-$199.40,-557.80%,"$2,564.00",$663.00,2017
335,PVH,"26,650",340,"$8,203.00",2.30%,$549.00,-4.10%,"$11,068.00","$8,092.00",2017
336,Level 3 Communications,"12,600",333,"$8,172.00",-0.70%,$677.00,-80.30%,"$24,888.00","$20,638.00",2017
337,Navistar International,"11,300",281,"$8,111.00",-20.00%,-$97.00,-,"$5,653.00","$2,416.00",2017
338,Univar,"8,700",315,"$8,074.00",-10.10%,-$68.40,-514.50%,"$5,390.00","$4,293.00",2017
339,Campbell Soup,"16,500",337,"$7,961.00",-1.50%,$563.00,-18.50%,"$7,837.00","$17,423.00",2017
340,Dick’s Sporting Goods,"27,550",365,"$7,922.00",9.00%,$287.40,-13.00%,"$4,058.00","$5,489.00",2017
341,Weyerhaeuser,"10,400",373,"$7,902.00",11.60%,"$1,027.00",103.00%,"$19,243.00","$25,451.00",2017
342,Mutual of Omaha Insurance,"5,732",367,"$7,899.00",9.20%,$356.60,7.10%,"$38,465.00",-,2017
343,Chesapeake Energy,"3,300",223,"$7,872.00",-38.30%,"-$4,401.00",-,"$13,028.00","$5,394.00",2017
344,Anadarko Petroleum,"4,500",324,"$7,869.00",-9.50%,"-$3,071.00",-,"$45,564.00","$34,640.00",2017
345,Interpublic Group,"49,800",355,"$7,847.00",3.10%,$608.50,33.90%,"$12,485.00","$9,648.00",2017
346,J.M. Smucker,"6,910",452,"$7,811.00",37.20%,$688.70,99.70%,"$15,984.00","$15,263.00",2017
347,Steel Dynamics,"7,695",356,"$7,777.00",2.40%,$382.10,-,"$6,424.00","$8,425.00",2017
348,Foot Locker,"32,965",361,"$7,766.00",4.80%,$664.00,22.70%,"$3,840.00","$9,818.00",2017
349,Western Refining,"7,134",289,"$7,743.00",-20.90%,$124.90,-69.30%,"$5,560.00","$3,812.00",2017
350,SpartanNash,"11,500",351,"$7,735.00",1.10%,$56.80,-9.40%,"$1,930.00","$1,313.00",2017
351,Dean Foods,"17,000",336,"$7,710.00",-5.10%,$119.90,-,"$2,606.00","$1,786.00",2017
352,Zimmer Biomet Holdings,"18,500",431,"$7,684.00",28.10%,$305.90,108.10%,"$26,684.00","$24,571.00",2017
353,PulteGroup,"4,623",433,"$7,669.00",28.20%,$602.70,22.00%,"$10,178.00","$7,466.00",2017
354,W.R. Berkley,"7,608",368,"$7,654.00",6.20%,$601.90,19.50%,"$23,365.00","$8,561.00",2017
355,Quanta Services,"28,100",352,"$7,651.00",0.20%,$198.40,-36.20%,"$5,354.00","$5,386.00",2017
356,EOG Resources,"2,650",322,"$7,651.00",-12.60%,"-$1,096.70",-,"$29,459.00","$56,302.00",2017
357,Charles Schwab,"16,200",401,"$7,644.00",17.60%,"$1,889.00",30.50%,"$223,383.00","$54,555.00",2017
358,Eversource Energy,"7,762",343,"$7,639.00",-4.00%,$942.30,7.30%,"$32,053.00","$18,627.00",2017
359,Anixter International,"8,900",391,"$7,625.00",15.60%,$120.50,-5.60%,"$4,094.00","$2,626.00",2017
360,EMCOR Group,"31,000",381,"$7,552.00",12.30%,$181.90,5.60%,"$3,894.00","$3,756.00",2017
361,Assurant,"14,700",275,"$7,532.00",-27.10%,$565.40,299.40%,"$29,709.00","$5,298.00",2017
362,CenterPoint Energy,"7,727",363,"$7,528.00",1.90%,$432.00,-,"$21,829.00","$11,882.00",2017
363,Harris,"21,000",505,"$7,527.00",48.10%,$324.00,-3.00%,"$11,996.00","$13,849.00",2017
364,HD Supply Holdings,"14,000",320,"$7,524.00",-14.30%,$196.00,-86.70%,"$5,707.00","$8,296.00",2017
365,PPL,"12,689",350,"$7,517.00",-2.00%,"$1,902.00",178.90%,"$38,315.00","$25,448.00",2017
366,Quest Diagnostics,"43,000",358,"$7,515.00",0.30%,$645.00,-9.00%,"$10,100.00","$13,501.00",2017
367,Williams,"5,604",364,"$7,499.00",1.90%,-$424.00,-,"$46,835.00","$24,436.00",2017
368,WEC Energy Group,"8,074",437,"$7,472.00",26.10%,$939.00,47.10%,"$30,123.00","$19,134.00",2017
369,Hershey,"17,140",362,"$7,440.00",0.70%,$720.00,40.40%,"$5,524.00","$23,236.00",2017
370,AGCO,"19,795",360,"$7,411.00",-0.80%,$160.10,-39.90%,"$7,168.00","$4,783.00",2017
371,Ralph Lauren,"20,500",354,"$7,405.00",-2.80%,$396.00,-43.60%,"$6,213.00","$6,710.00",2017
372,Masco,"26,000",345,"$7,357.00",-6.90%,$491.00,38.30%,"$5,137.00","$10,888.00",2017
373,WESCO International,"9,000",357,"$7,336.00",-2.40%,$101.60,-51.80%,"$4,491.00","$3,389.00",2017
374,LifePoint Health,"47,000",430,"$7,274.00",20.90%,$121.90,-33.00%,"$6,319.00","$2,616.00",2017
375,National Oilwell Varco,"36,384",192,"$7,251.00",-50.90%,"-$2,412.00",-,"$21,140.00","$15,183.00",2017
376,Kindred Healthcare,"76,650",372,"$7,227.00",1.80%,-$664.20,-,"$6,113.00",$711.00,2017
377,Mosaic,"8,700",316,"$7,163.00",-19.50%,$297.80,-70.20%,"$16,841.00","$10,242.00",2017
378,Alliance Data Systems,"17,000",404,"$7,138.00",10.80%,$515.80,-13.50%,"$25,514.00","$13,925.00",2017
379,Computer Sciences,"59,000",233,"$7,106.00",-41.70%,$251.00,-,"$7,736.00","$9,746.00",2017
380,Huntington Ingalls Industries,"37,000",378,"$7,068.00",0.70%,$573.00,41.80%,"$6,352.00","$9,265.00",2017
381,Leidos Holdings,"32,000",504,"$7,043.00",38.50%,$244.00,-3.90%,"$9,132.00","$7,696.00",2017
382,Erie Insurance Group,"4,988",411,"$7,016.00",5.70%,$741.90,10.70%,"$18,417.00",-,2017
383,Tesla,"30,025",588,"$7,000.00",73.00%,-$674.90,-,"$22,664.00","$45,390.00",2017
384,Ascena Retail Group,"41,000",523,"$6,995.00",45.60%,-$11.90,-,"$5,506.00",$830.00,2017
385,Darden Restaurants,"150,942",371,"$6,934.00",-3.20%,$375.00,-47.10%,"$4,583.00","$10,389.00",2017
386,Harman International Industries,"26,000",419,"$6,912.00",12.30%,$361.70,5.60%,"$6,054.00",-,2017
387,Nvidia,"10,299",508,"$6,910.00",37.90%,"$1,666.00",171.30%,"$9,841.00","$64,160.00",2017
388,R.R. Donnelley & Sons,"44,360",255,"$6,896.00",-38.70%,-$495.90,-428.20%,"$4,285.00",$846.00,2017
389,Fifth Third Bancorp,"17,844",376,"$6,889.00",-2.00%,"$1,564.00",-8.60%,"$142,177.00","$19,066.00",2017
390,Quintiles Transnational Holdings,"50,000",447,"$6,878.00",19.90%,$115.00,-70.30%,"$21,208.00","$18,999.00",2017
391,Jones Lang LaSalle,"77,300",436,"$6,804.00",14.00%,$318.20,-27.50%,"$7,629.00","$5,043.00",2017
392,Dover,"29,000",377,"$6,794.00",-3.30%,$508.90,-41.50%,"$10,116.00","$12,502.00",2017
393,Spirit AeroSystems Holdings,"14,400",389,"$6,793.00",2.20%,$469.70,-40.40%,"$5,405.00","$6,900.00",2017
394,Ryder System,"34,500",395,"$6,787.00",3.30%,$262.50,-13.90%,"$10,903.00","$3,992.00",2017
395,A-Mark Precious Metals,"83,000",426,"$6,784.00",11.80%,$9.30,31.50%,$437.00,$120.00,2017
396,Tractor Supply,"19,500",415,"$6,780.00",8.90%,$437.10,6.50%,"$2,675.00","$8,960.00",2017
397,Sealed Air,"23,000",375,"$6,778.00",-3.60%,$486.40,45.00%,"$7,389.00","$8,432.00",2017
398,Auto-Owners Insurance,"4,737",398,"$6,775.00",4.00%,$706.30,-13.40%,"$21,571.00",-,2017
399,Yum China Holdings,"420,000",,"$6,752.00",-,$502.00,-,"$3,727.00","$10,453.00",2017
400,Calpine,"2,372",402,"$6,716.00",3.80%,$92.00,-60.90%,"$19,317.00","$3,989.00",2017
401,Owens-Illinois,"27,000",418,"$6,702.00",8.90%,$209.00,54.80%,"$9,135.00","$3,316.00",2017
402,Targa Resources,"1,970",387,"$6,691.00",0.50%,-$187.30,-421.30%,"$12,871.00","$11,743.00",2017
403,JetBlue Airways,"15,986",405,"$6,632.00",3.40%,$759.00,12.10%,"$9,487.00","$6,875.00",2017
404,Jones Financial,"43,000",382,"$6,632.00",-0.90%,$746.00,-11.00%,"$19,424.00",-,2017
